Authority Code,Tax Type,Formula Number,Start Date,End Date,Single,Married Not Defined Further,Married Claim Self File Separate,Married Two Working,Married One Working,Head of Household,Married Multiple Employers,Widow or Widower,Married Not Living with Spouse,Married Claim All File Joint,Married Claim Half File Joint,Married Claim All File Separate,Married Claim None File Joint,Married Living with Spouse,Married Single Tax Rate,Civil Union,Civil Union Single Tax Rate,Spouse is Nonres Alien,Married 19,Married 20,Married 21,Married 22,Married 23,Married 24,Married 25,Default Marital Status,Withholding Form
00180002,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180003,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180003,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180003,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180004,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180004,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180004,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180005,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180005,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180005,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180006,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180006,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180006,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180007,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180007,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180007,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180008,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180008,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180008,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180009,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180009,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180009,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180011,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180011,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180011,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180012,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180012,071,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180012,072,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
00180013,070,1,20150101,00000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
